Nom;Numéro;Protocole;Description
bmc-messaging;2059;UDP;BMC Messaging Service
teleniumdaemon;2060;TCP;Telenium Daemon IF
teleniumdaemon;2060;UDP;Telenium Daemon IF
netmount;2061;TCP;NetMount
netmount;2061;UDP;NetMount
icg-swp;2062;TCP;ICG SWP Port
icg-swp;2062;UDP;ICG SWP Port
icg-bridge;2063;TCP;ICG Bridge Port
icg-bridge;2063;UDP;ICG Bridge Port
icg-iprelay;2064;TCP;ICG IP Relay Port
icg-iprelay;2064;UDP;ICG IP Relay Port
dlsrpn;2065;TCP;Data Link Switch Read Port Number
dlsrpn;2065;UDP;Data Link Switch Read Port Number
aura;2066;TCP;AVM USB Remote Architecture
aura;2066;UDP;AVM USB Remote Architecture
dlswpn;2067;TCP;Data Link Switch Write Port Number
dlswpn;2067;UDP;Data Link Switch Write Port Number
avauthsrvprtcl;2068;TCP;Avocent AuthSrv Protocol
avauthsrvprtcl;2068;UDP;Avocent AuthSrv Protocol
event-port;2069;TCP;HTTP Event Port
event-port;2069;UDP;HTTP Event Port
ah-esp-encap;2070;TCP;AH and ESP Encapsulated in UDP packet
ah-esp-encap;2070;UDP;AH and ESP Encapsulated in UDP packet
acp-port;2071;TCP;Axon Control Protocol
acp-port;2071;UDP;Axon Control Protocol
msync;2072;TCP;GlobeCast mSync
msync;2072;UDP;GlobeCast mSync
gxs-data-port;2073;TCP;DataReel Database Socket
gxs-data-port;2073;UDP;DataReel Database Socket
vrtl-vmf-sa;2074;TCP;Vertel VMF SA
vrtl-vmf-sa;2074;UDP;Vertel VMF SA
newlixengine;2075;TCP;Newlix ServerWare Engine
newlixengine;2075;UDP;Newlix ServerWare Engine
newlixconfig;2076;TCP;Newlix JSPConfig
newlixconfig;2076;UDP;Newlix JSPConfig
tsrmagt;2077;TCP;Old Tivoli Storage Manager
tsrmagt;2077;UDP;Old Tivoli Storage Manager
tpcsrvr;2078;TCP;IBM Total Productivity Center Server
tpcsrvr;2078;UDP;IBM Total Productivity Center Server
idware-router;2079;TCP;IDWARE Router Port
idware-router;2079;UDP;IDWARE Router Port
autodesk-nlm;2080;TCP;Autodesk NLM (FLEXlm)
autodesk-nlm;2080;UDP;Autodesk NLM (FLEXlm)
kme-trap-port;2081;TCP;KME PRINTER TRAP PORT
kme-trap-port;2081;UDP;KME PRINTER TRAP PORT
infowave;2082;TCP;Infowave Mobility Server
infowave;2082;UDP;Infowave Mobility Server
radsec;2083;TCP;Secure Radius Service
radsec;2083;UDP;Secure Radius Service
sunclustergeo;2084;TCP;SunCluster Geographic
sunclustergeo;2084;UDP;SunCluster Geographic
ada-cip;2085;TCP;ADA Control
ada-cip;2085;UDP;ADA Control
gnunet;2086;TCP;GNUnet
gnunet;2086;UDP;GNUnet
eli;2087;TCP;ELI - Event Logging Integration
eli;2087;UDP;ELI - Event Logging Integration
ip-blf;2088;TCP;IP Busy Lamp Field
ip-blf;2088;UDP;IP Busy Lamp Field
sep;2089;TCP;Security Encapsulation Protocol - SEP
sep;2089;UDP;Security Encapsulation Protocol - SEP
lrp;2090;TCP;Load Report Protocol
lrp;2090;UDP;Load Report Protocol
prp;2091;TCP;PRP
prp;2091;UDP;PRP
descent3;2092;TCP;Descent 3
descent3;2092;UDP;Descent 3
nbx-cc;2093;TCP;NBX CC
nbx-cc;2093;UDP;NBX CC
nbx-au;2094;TCP;NBX AU
nbx-au;2094;UDP;NBX AU
nbx-ser;2095;TCP;NBX SER
nbx-ser;2095;UDP;NBX SER
nbx-dir;2096;TCP;NBX DIR
nbx-dir;2096;UDP;NBX DIR
jetformpreview;2097;TCP;Jet Form Preview
jetformpreview;2097;UDP;Jet Form Preview
dialog-port;2098;TCP;Dialog Port
dialog-port;2098;UDP;Dialog Port
h2250-annex-g;2099;TCP;H.225.0 Annex G Signalling
h2250-annex-g;2099;UDP;H.225.0 Annex G Signalling
amiganetfs;2100;TCP;Amiga Network Filesystem
amiganetfs;2100;UDP;Amiga Network Filesystem
rtcm-sc104;2101;TCP;rtcm-sc104
rtcm-sc104;2101;UDP;rtcm-sc104
zephyr-srv;2102;TCP;Zephyr server
zephyr-srv;2102;UDP;Zephyr server
zephyr-clt;2103;TCP;Zephyr serv-hm connection
zephyr-clt;2103;UDP;Zephyr serv-hm connection
zephyr-hm;2104;TCP;Zephyr hostmanager
zephyr-hm;2104;UDP;Zephyr hostmanager
minipay;2105;TCP;MiniPay
minipay;2105;UDP;MiniPay
mzap;2106;TCP;MZAP
mzap;2106;UDP;MZAP
bintec-admin;2107;TCP;BinTec Admin
bintec-admin;2107;UDP;BinTec Admin
comcam;2108;TCP;Comcam
comcam;2108;UDP;Comcam
ergolight;2109;TCP;Ergolight
ergolight;2109;UDP;Ergolight
umsp;2110;TCP;UMSP
umsp;2110;UDP;UMSP
dsatp;2111;TCP;OPNET Dynamic Sampling Agent Transaction Protocol
dsatp;2111;UDP;OPNET Dynamic Sampling Agent Transaction Protocol
idonix-metanet;2112;TCP;Idonix MetaNet
idonix-metanet;2112;UDP;Idonix MetaNet
hsl-storm;2113;TCP;HSL StoRM
hsl-storm;2113;UDP;HSL StoRM
newheights;2114;TCP;NEWHEIGHTS
newheights;2114;UDP;NEWHEIGHTS
kdm;2115;TCP;Key Distribution Manager
kdm;2115;UDP;Key Distribution Manager
ccowcmr;2116;TCP;CCOWCMR
ccowcmr;2116;UDP;CCOWCMR
mentaclient;2117;TCP;MENTACLIENT
mentaclient;2117;UDP;MENTACLIENT
mentaserver;2118;TCP;MENTASERVER
mentaserver;2118;UDP;MENTASERVER
gsigatekeeper;2119;TCP;GSIGATEKEEPER
gsigatekeeper;2119;UDP;GSIGATEKEEPER
qencp;2120;TCP;Quick Eagle Networks CP
qencp;2120;UDP;Quick Eagle Networks CP
scientia-ssdb;2121;TCP;SCIENTIA-SSDB
scientia-ssdb;2121;UDP;SCIENTIA-SSDB
caupc-remote;2122;TCP;CauPC Remote Control
caupc-remote;2122;UDP;CauPC Remote Control
gtp-control;2123;TCP;GTP-Control Plane (3GPP)
gtp-control;2123;UDP;GTP-Control Plane (3GPP)
elatelink;2124;TCP;ELATELINK
elatelink;2124;UDP;ELATELINK
lockstep;2125;TCP;LOCKSTEP
lockstep;2125;UDP;LOCKSTEP
pktcable-cops;2126;TCP;PktCable-COPS
pktcable-cops;2126;UDP;PktCable-COPS
index-pc-wb;2127;TCP;INDEX-PC-WB
index-pc-wb;2127;UDP;INDEX-PC-WB
net-steward;2128;TCP;Net Steward Control
net-steward;2128;UDP;Net Steward Control
cs-live;2129;TCP;cs-live.com
cs-live;2129;UDP;cs-live.com
xds;2130;TCP;XDS
xds;2130;UDP;XDS
avantageb2b;2131;TCP;Avantageb2b
avantageb2b;2131;UDP;Avantageb2b
solera-epmap;2132;TCP;SoleraTec End Point Map
solera-epmap;2132;UDP;SoleraTec End Point Map
zymed-zpp;2133;TCP;ZYMED-ZPP
zymed-zpp;2133;UDP;ZYMED-ZPP
avenue;2134;TCP;AVENUE
avenue;2134;UDP;AVENUE
gris;2135;TCP;Grid Resource Information Server
gris;2135;UDP;Grid Resource Information Server
appworxsrv;2136;TCP;APPWORXSRV
appworxsrv;2136;UDP;APPWORXSRV
connect;2137;TCP;CONNECT
connect;2137;UDP;CONNECT
unbind-cluster;2138;TCP;UNBIND-CLUSTER
unbind-cluster;2138;UDP;UNBIND-CLUSTER
ias-auth;2139;TCP;IAS-AUTH
ias-auth;2139;UDP;IAS-AUTH
ias-reg;2140;TCP;IAS-REG
ias-reg;2140;UDP;IAS-REG
ias-admind;2141;TCP;IAS-ADMIND
ias-admind;2141;UDP;IAS-ADMIND
tdmoip;2142;TCP;TDM OVER IP
tdmoip;2142;UDP;TDM OVER IP
lv-jc;2143;TCP;Live Vault Job Control
lv-jc;2143;UDP;Live Vault Job Control
lv-ffx;2144;TCP;Live Vault Fast Object Transfer
lv-ffx;2144;UDP;Live Vault Fast Object Transfer
lv-pici;2145;TCP;Live Vault Remote Diagnostic Console Support
lv-pici;2145;UDP;Live Vault Remote Diagnostic Console Support
lv-not;2146;TCP;Live Vault Admin Event Notification
lv-not;2146;UDP;Live Vault Admin Event Notification
lv-auth;2147;TCP;Live Vault Authentication
lv-auth;2147;UDP;Live Vault Authentication
veritas-ucl;2148;TCP;VERITAS UNIVERSAL COMMUNICATION LAYER
veritas-ucl;2148;UDP;VERITAS UNIVERSAL COMMUNICATION LAYER
acptsys;2149;TCP;ACPTSYS
acptsys;2149;UDP;ACPTSYS
dynamic3d;2150;TCP;DYNAMIC3D
dynamic3d;2150;UDP;DYNAMIC3D
docent;2151;TCP;DOCENT
docent;2151;UDP;DOCENT
gtp-user;2152;TCP;GTP-User Plane (3GPP)
gtp-user;2152;UDP;GTP-User Plane (3GPP)
ctlptc;2153;TCP;Control Protocol
ctlptc;2153;UDP;Control Protocol
stdptc;2154;TCP;Standard Protocol
stdptc;2154;UDP;Standard Protocol
brdptc;2155;TCP;Bridge Protocol
brdptc;2155;UDP;Bridge Protocol
trp;2156;TCP;Talari Reliable Protocol
trp;2156;UDP;Talari Reliable Protocol
xnds;2157;TCP;Xerox Network Document Scan Protocol
xnds;2157;UDP;Xerox Network Document Scan Protocol
touchnetplus;2158;TCP;TouchNetPlus Service
touchnetplus;2158;UDP;TouchNetPlus Service
gdbremote;2159;TCP;GDB Remote Debug Port
gdbremote;2159;UDP;GDB Remote Debug Port
apc-2160;2160;TCP;APC 2160
apc-2160;2160;UDP;APC 2160
apc-2161;2161;TCP;APC 2161
apc-2161;2161;UDP;APC 2161
navisphere;2162;TCP;Navisphere
navisphere;2162;UDP;Navisphere
navisphere-sec;2163;TCP;Navisphere Secure
navisphere-sec;2163;UDP;Navisphere Secure
ddns-v3;2164;TCP;Dynamic DNS Version 3
ddns-v3;2164;UDP;Dynamic DNS Version 3
x-bone-api;2165;TCP;X-Bone API
x-bone-api;2165;UDP;X-Bone API
iwserver;2166;TCP;iwserver
iwserver;2166;UDP;iwserver
raw-serial;2167;TCP;Raw Async Serial Link
raw-serial;2167;UDP;Raw Async Serial Link
easy-soft-mux;2168;TCP;easy-soft Multiplexer
easy-soft-mux;2168;UDP;easy-soft Multiplexer
brain;2169;TCP;Backbone for Academic Information Notification (BRAIN)
brain;2169;UDP;Backbone for Academic Information Notification (BRAIN)
eyetv;2170;TCP;EyeTV Server Port
eyetv;2170;UDP;EyeTV Server Port
msfw-storage;2171;TCP;MS Firewall Storage
msfw-storage;2171;UDP;MS Firewall Storage
msfw-s-storage;2172;TCP;MS Firewall SecureStorage
msfw-s-storage;2172;UDP;MS Firewall SecureStorage
msfw-replica;2173;TCP;MS Firewall Replication
msfw-replica;2173;UDP;MS Firewall Replication
msfw-array;2174;TCP;MS Firewall Intra Array
msfw-array;2174;UDP;MS Firewall Intra Array
airsync;2175;TCP;Microsoft Desktop AirSync Protocol
airsync;2175;UDP;Microsoft Desktop AirSync Protocol
rapi;2176;TCP;Microsoft ActiveSync Remote API
rapi;2176;UDP;Microsoft ActiveSync Remote API
qwave;2177;TCP;qWAVE Bandwidth Estimate
qwave;2177;UDP;qWAVE Bandwidth Estimate
bitspeer;2178;TCP;Peer Services for BITS
bitspeer;2178;UDP;Peer Services for BITS
vmrdp;2179;TCP;Microsoft RDP for virtual machines
vmrdp;2179;UDP;Microsoft RDP for virtual machines
mc-gt-srv;2180;TCP;Millicent Vendor Gateway Server
mc-gt-srv;2180;UDP;Millicent Vendor Gateway Server
eforward;2181;TCP;eforward
eforward;2181;UDP;eforward
cgn-stat;2182;TCP;CGN status
cgn-stat;2182;UDP;CGN status
cgn-config;2183;TCP;Code Green configuration
cgn-config;2183;UDP;Code Green configuration
nvd;2184;TCP;NVD User
nvd;2184;UDP;NVD User
onbase-dds;2185;TCP;OnBase Distributed Disk Services
onbase-dds;2185;UDP;OnBase Distributed Disk Services
gtaua;2186;TCP;Guy-Tek Automated Update Applications
gtaua;2186;UDP;Guy-Tek Automated Update Applications
ssmc;2187;TCP;Sepehr System Management Control
ssmd;2187;UDP;Sepehr System Management Data
radware-rpm;2188;TCP;Radware Resource Pool Manager
Unassigned;2188;UDP;Reserved
radware-rpm-s;2189;TCP;Secure Radware Resource Pool Manager
Unassigned;2189;UDP;Reserved
tivoconnect;2190;TCP;TiVoConnect Beacon
tivoconnect;2190;UDP;TiVoConnect Beacon
tvbus;2191;TCP;TvBus Messaging
tvbus;2191;UDP;TvBus Messaging
asdis;2192;TCP;ASDIS software management
asdis;2192;UDP;ASDIS software management
drwcs;2193;TCP;Dr.Web Enterprise Management Service
drwcs;2193;UDP;Dr.Web Enterprise Management Service
mnp-exchange;2197;TCP;MNP data exchange
mnp-exchange;2197;UDP;MNP data exchange
onehome-remote;2198;TCP;OneHome Remote Access
onehome-remote;2198;UDP;OneHome Remote Access
onehome-help;2199;TCP;OneHome Service Port
onehome-help;2199;UDP;OneHome Service Port
ici;2200;TCP;ICI
ici;2200;UDP;ICI
ats;2201;TCP;Advanced Training System Program
ats;2201;UDP;Advanced Training System Program
imtc-map;2202;TCP;Int. Multimedia Teleconferencing Cosortium
imtc-map;2202;UDP;Int. Multimedia Teleconferencing Cosortium
b2-runtime;2203;TCP;b2 Runtime Protocol
b2-runtime;2203;UDP;b2 Runtime Protocol
b2-license;2204;TCP;b2 License Server
b2-license;2204;UDP;b2 License Server
jps;2205;TCP;Java Presentation Server
jps;2205;UDP;Java Presentation Server
hpocbus;2206;TCP;HP OpenCall bus
hpocbus;2206;UDP;HP OpenCall bus
hpssd;2207;TCP;HP Status and Services
hpssd;2207;UDP;HP Status and Services
hpiod;2208;TCP;HP I/O Backend
hpiod;2208;UDP;HP I/O Backend
rimf-ps;2209;TCP;HP RIM for Files Portal Service
rimf-ps;2209;UDP;HP RIM for Files Portal Service
noaaport;2210;TCP;NOAAPORT Broadcast Network
noaaport;2210;UDP;NOAAPORT Broadcast Network
emwin;2211;TCP;EMWIN
emwin;2211;UDP;EMWIN
leecoposserver;2212;TCP;LeeCO POS Server Service
leecoposserver;2212;UDP;LeeCO POS Server Service
kali;2213;TCP;Kali
kali;2213;UDP;Kali
rpi;2214;TCP;RDQ Protocol Interface
rpi;2214;UDP;RDQ Protocol Interface
ipcore;2215;TCP;IPCore.co.za GPRS
ipcore;2215;UDP;IPCore.co.za GPRS
vtu-comms;2216;TCP;VTU data service
vtu-comms;2216;UDP;VTU data service
gotodevice;2217;TCP;GoToDevice Device Management
gotodevice;2217;UDP;GoToDevice Device Management
bounzza;2218;TCP;Bounzza IRC Proxy
bounzza;2218;UDP;Bounzza IRC Proxy
netiq-ncap;2219;TCP;NetIQ NCAP Protocol
netiq-ncap;2219;UDP;NetIQ NCAP Protocol
netiq;2220;TCP;NetIQ End2End
netiq;2220;UDP;NetIQ End2End
ethernet-ip-s;2221;TCP;EtherNet/IP over TLS
ethernet-ip-s;2221;UDP;EtherNet/IP over DTLS
EtherNet-IP-1;2222;TCP;EtherNet/IP I/O
EtherNet/IP-1;2222;TCP;EtherNet/IP I/O
EtherNet-IP-1;2222;UDP;EtherNet/IP I/O
EtherNet/IP-1;2222;UDP;EtherNet/IP I/O
rockwell-csp2;2223;TCP;Rockwell CSP2
rockwell-csp2;2223;UDP;Rockwell CSP2
efi-mg;2224;TCP;Easy Flexible Internet/Multiplayer Games
efi-mg;2224;UDP;Easy Flexible Internet/Multiplayer Games
rcip-itu;2225;UDP;Resource Connection Initiation Protocol
rcip-itu;2225;TCP;Resource Connection Initiation Protocol
Unassigned;2225;UDP;Reserved
di-drm;2226;TCP;Digital Instinct DRM
di-drm;2226;UDP;Digital Instinct DRM
di-msg;2227;TCP;DI Messaging Service
di-msg;2227;UDP;DI Messaging Service
ehome-ms;2228;TCP;eHome Message Server
ehome-ms;2228;UDP;eHome Message Server
datalens;2229;TCP;DataLens Service
datalens;2229;UDP;DataLens Service
queueadm;2230;TCP;MetaSoft Job Queue Administration Service
queueadm;2230;UDP;MetaSoft Job Queue Administration Service
wimaxasncp;2231;TCP;WiMAX ASN Control Plane Protocol
wimaxasncp;2231;UDP;WiMAX ASN Control Plane Protocol
ivs-video;2232;TCP;IVS Video default
ivs-video;2232;UDP;IVS Video default
infocrypt;2233;TCP;INFOCRYPT
infocrypt;2233;UDP;INFOCRYPT
directplay;2234;TCP;DirectPlay
directplay;2234;UDP;DirectPlay
sercomm-wlink;2235;TCP;Sercomm-WLink
sercomm-wlink;2235;UDP;Sercomm-WLink
nani;2236;TCP;Nani
nani;2236;UDP;Nani
optech-port1-lm;2237;TCP;Optech Port1 License Manager
optech-port1-lm;2237;UDP;Optech Port1 License Manager
aviva-sna;2238;TCP;AVIVA SNA SERVER
aviva-sna;2238;UDP;AVIVA SNA SERVER
imagequery;2239;TCP;Image Query
imagequery;2239;UDP;Image Query
recipe;2240;TCP;RECIPe
recipe;2240;UDP;RECIPe
ivsd;2241;TCP;IVS Daemon
ivsd;2241;UDP;IVS Daemon
foliocorp;2242;TCP;Folio Remote Server
foliocorp;2242;UDP;Folio Remote Server
magicom;2243;TCP;Magicom Protocol
magicom;2243;UDP;Magicom Protocol
nmsserver;2244;TCP;NMS Server
nmsserver;2244;UDP;NMS Server
hao;2245;TCP;HaO
hao;2245;UDP;HaO
pc-mta-addrmap;2246;TCP;PacketCable MTA Addr Map
pc-mta-addrmap;2246;UDP;PacketCable MTA Addr Map
antidotemgrsvr;2247;TCP;Antidote Deployment Manager Service
antidotemgrsvr;2247;UDP;Antidote Deployment Manager Service
ums;2248;TCP;User Management Service
ums;2248;UDP;User Management Service
rfmp;2249;TCP;RISO File Manager Protocol
rfmp;2249;UDP;RISO File Manager Protocol
remote-collab;2250;TCP;remote-collab
remote-collab;2250;UDP;remote-collab
dif-port;2251;TCP;Distributed Framework Port
dif-port;2251;UDP;Distributed Framework Port
njenet-ssl;2252;TCP;NJENET using SSL
njenet-ssl;2252;UDP;NJENET using SSL
dtv-chan-req;2253;TCP;DTV Channel Request
dtv-chan-req;2253;UDP;DTV Channel Request
seispoc;2254;TCP;Seismic P.O.C. Port
seispoc;2254;UDP;Seismic P.O.C. Port
vrtp;2255;TCP;VRTP - ViRtue Transfer Protocol
vrtp;2255;UDP;VRTP - ViRtue Transfer Protocol
pcc-mfp;2256;TCP;PCC MFP
pcc-mfp;2256;UDP;PCC MFP
simple-tx-rx;2257;TCP;simple text/file transfer
simple-tx-rx;2257;UDP;simple text/file transfer
rcts;2258;TCP;Rotorcraft Communications Test System
rcts;2258;UDP;Rotorcraft Communications Test System
Unassigned;2259;UDP;Unassigned
apc-2260;2260;TCP;APC 2260
apc-2260;2260;UDP;APC 2260
comotionmaster;2261;TCP;CoMotion Master Server
comotionmaster;2261;UDP;CoMotion Master Server
comotionback;2262;TCP;CoMotion Backup Server
comotionback;2262;UDP;CoMotion Backup Server
ecwcfg;2263;TCP;ECweb Configuration Service
ecwcfg;2263;UDP;ECweb Configuration Service
apx500api-1;2264;TCP;Audio Precision Apx500 API Port 1
apx500api-1;2264;UDP;Audio Precision Apx500 API Port 1
apx500api-2;2265;TCP;Audio Precision Apx500 API Port 2
apx500api-2;2265;UDP;Audio Precision Apx500 API Port 2
mfserver;2266;TCP;M-Files Server
mfserver;2266;UDP;M-files Server
ontobroker;2267;TCP;OntoBroker
ontobroker;2267;UDP;OntoBroker
amt;2268;TCP;AMT
amt;2268;UDP;AMT
mikey;2269;TCP;MIKEY
mikey;2269;UDP;MIKEY
starschool;2270;TCP;starSchool
starschool;2270;UDP;starSchool
mmcals;2271;TCP;Secure Meeting Maker Scheduling
mmcals;2271;UDP;Secure Meeting Maker Scheduling
mmcal;2272;TCP;Meeting Maker Scheduling
mmcal;2272;UDP;Meeting Maker Scheduling
mysql-im;2273;TCP;MySQL Instance Manager
mysql-im;2273;UDP;MySQL Instance Manager
pcttunnell;2274;TCP;PCTTunneller
pcttunnell;2274;UDP;PCTTunneller
ibridge-data;2275;TCP;iBridge Conferencing
ibridge-data;2275;UDP;iBridge Conferencing
ibridge-mgmt;2276;TCP;iBridge Management
ibridge-mgmt;2276;UDP;iBridge Management
bluectrlproxy;2277;TCP;Bt device control proxy
bluectrlproxy;2277;UDP;Bt device control proxy
s3db;2278;TCP;Simple Stacked Sequences Database
s3db;2278;UDP;Simple Stacked Sequences Database
xmquery;2279;TCP;xmquery
xmquery;2279;UDP;xmquery
lnvpoller;2280;TCP;LNVPOLLER
lnvpoller;2280;UDP;LNVPOLLER
lnvconsole;2281;TCP;LNVCONSOLE
lnvconsole;2281;UDP;LNVCONSOLE
lnvalarm;2282;TCP;LNVALARM
lnvalarm;2282;UDP;LNVALARM
lnvstatus;2283;TCP;LNVSTATUS
lnvstatus;2283;UDP;LNVSTATUS
lnvmaps;2284;TCP;LNVMAPS
lnvmaps;2284;UDP;LNVMAPS
lnvmailmon;2285;TCP;LNVMAILMON
lnvmailmon;2285;UDP;LNVMAILMON
nas-metering;2286;TCP;NAS-Metering
nas-metering;2286;UDP;NAS-Metering
dna;2287;TCP;DNA
dna;2287;UDP;DNA
netml;2288;TCP;NETML
netml;2288;UDP;NETML
dict-lookup;2289;TCP;Lookup dict server
dict-lookup;2289;UDP;Lookup dict server
sonus-logging;2290;TCP;Sonus Logging Services
sonus-logging;2290;UDP;Sonus Logging Services
eapsp;2291;TCP;EPSON Advanced Printer Share Protocol
eapsp;2291;UDP;EPSON Advanced Printer Share Protocol
mib-streaming;2292;TCP;Sonus Element Management Services
mib-streaming;2292;UDP;Sonus Element Management Services
npdbgmngr;2293;TCP;Network Platform Debug Manager
npdbgmngr;2293;UDP;Network Platform Debug Manager
konshus-lm;2294;TCP;Konshus License Manager (FLEX)
konshus-lm;2294;UDP;Konshus License Manager (FLEX)
advant-lm;2295;TCP;Advant License Manager
advant-lm;2295;UDP;Advant License Manager
theta-lm;2296;TCP;Theta License Manager (Rainbow)
theta-lm;2296;UDP;Theta License Manager (Rainbow)
d2k-datamover1;2297;TCP;D2K DataMover 1
d2k-datamover1;2297;UDP;D2K DataMover 1
d2k-datamover2;2298;TCP;D2K DataMover 2
d2k-datamover2;2298;UDP;D2K DataMover 2
pc-telecommute;2299;TCP;PC Telecommute
pc-telecommute;2299;UDP;PC Telecommute
cvmmon;2300;TCP;CVMMON
cvmmon;2300;UDP;CVMMON
cpq-wbem;2301;TCP;Compaq HTTP
cpq-wbem;2301;UDP;Compaq HTTP
binderysupport;2302;TCP;Bindery Support
binderysupport;2302;UDP;Bindery Support
proxy-gateway;2303;TCP;Proxy Gateway
proxy-gateway;2303;UDP;Proxy Gateway
attachmate-uts;2304;TCP;Attachmate UTS
attachmate-uts;2304;UDP;Attachmate UTS
mt-scaleserver;2305;TCP;MT ScaleServer
mt-scaleserver;2305;UDP;MT ScaleServer
tappi-boxnet;2306;TCP;TAPPI BoxNet
tappi-boxnet;2306;UDP;TAPPI BoxNet
pehelp;2307;TCP;pehelp
pehelp;2307;UDP;pehelp
sdhelp;2308;TCP;sdhelp
sdhelp;2308;UDP;sdhelp
sdserver;2309;TCP;SD Server
sdserver;2309;UDP;SD Server
sdclient;2310;TCP;SD Client
sdclient;2310;UDP;SD Client
messageservice;2311;TCP;Message Service
messageservice;2311;UDP;Message Service
wanscaler;2312;TCP;WANScaler Communication Service
wanscaler;2312;UDP;WANScaler Communication Service
iapp;2313;TCP;IAPP (Inter Access Point Protocol)
iapp;2313;UDP;IAPP (Inter Access Point Protocol)
cr-websystems;2314;TCP;CR WebSystems
cr-websystems;2314;UDP;CR WebSystems
precise-sft;2315;TCP;Precise Sft.
precise-sft;2315;UDP;Precise Sft.
sent-lm;2316;TCP;SENT License Manager
sent-lm;2316;UDP;SENT License Manager
attachmate-g32;2317;TCP;Attachmate G32
attachmate-g32;2317;UDP;Attachmate G32
cadencecontrol;2318;TCP;Cadence Control
cadencecontrol;2318;UDP;Cadence Control
infolibria;2319;TCP;InfoLibria
infolibria;2319;UDP;InfoLibria
siebel-ns;2320;TCP;Siebel NS
siebel-ns;2320;UDP;Siebel NS
rdlap;2321;TCP;RDLAP
rdlap;2321;UDP;RDLAP
ofsd;2322;TCP;ofsd
ofsd;2322;UDP;ofsd
3d-nfsd;2323;TCP;3d-nfsd
3d-nfsd;2323;UDP;3d-nfsd
cosmocall;2324;TCP;Cosmocall
cosmocall;2324;UDP;Cosmocall
ansysli;2325;TCP;ANSYS Licensing Interconnect
ansysli;2325;UDP;ANSYS Licensing Interconnect
idcp;2326;TCP;IDCP
idcp;2326;UDP;IDCP
xingcsm;2327;TCP;xingcsm
xingcsm;2327;UDP;xingcsm
netrix-sftm;2328;TCP;Netrix SFTM
netrix-sftm;2328;UDP;Netrix SFTM
nvd;2329;TCP;NVD
nvd;2329;UDP;NVD
tscchat;2330;TCP;TSCCHAT
tscchat;2330;UDP;TSCCHAT
agentview;2331;TCP;AGENTVIEW
agentview;2331;UDP;AGENTVIEW
rcc-host;2332;TCP;RCC Host
rcc-host;2332;UDP;RCC Host
snapp;2333;TCP;SNAPP
snapp;2333;UDP;SNAPP
ace-client;2334;TCP;ACE Client Auth
ace-client;2334;UDP;ACE Client Auth
ace-proxy;2335;TCP;ACE Proxy
ace-proxy;2335;UDP;ACE Proxy
appleugcontrol;2336;TCP;Apple UG Control
appleugcontrol;2336;UDP;Apple UG Control
ideesrv;2337;TCP;ideesrv
ideesrv;2337;UDP;ideesrv
norton-lambert;2338;TCP;Norton Lambert
norton-lambert;2338;UDP;Norton Lambert
3com-webview;2339;TCP;3Com WebView
3com-webview;2339;UDP;3Com WebView
wrs-registry;2340;TCP;WRS Registry
wrs_registry;2340;TCP;WRS Registry
wrs-registry;2340;UDP;WRS Registry
wrs_registry;2340;UDP;WRS Registry
xiostatus;2341;TCP;XIO Status
xiostatus;2341;UDP;XIO Status
manage-exec;2342;TCP;Seagate Manage Exec
manage-exec;2342;UDP;Seagate Manage Exec
nati-logos;2343;TCP;nati logos
nati-logos;2343;UDP;nati logos
fcmsys;2344;TCP;fcmsys
fcmsys;2344;UDP;fcmsys
dbm;2345;TCP;dbm
dbm;2345;UDP;dbm
redstorm-join;2346;TCP;Game Connection Port
redstorm_join;2346;TCP;Game Connection Port
redstorm-join;2346;UDP;Game Connection Port
redstorm_join;2346;UDP;Game Connection Port
redstorm-find;2347;TCP;Game Announcement and Location
redstorm_find;2347;TCP;Game Announcement and Location
redstorm-find;2347;UDP;Game Announcement and Location
redstorm_find;2347;UDP;Game Announcement and Location
redstorm-info;2348;TCP;Information to query for game status
redstorm_info;2348;TCP;Information to query for game status
redstorm-info;2348;UDP;Information to query for game status
redstorm_info;2348;UDP;Information to query for game status
redstorm-diag;2349;TCP;Diagnostics Port
redstorm_diag;2349;TCP;Diagnostics Port
redstorm-diag;2349;UDP;Diagnostics Port
redstorm_diag;2349;UDP;Diagnostics Port
psbserver;2350;TCP;Pharos Booking Server
psbserver;2350;UDP;Pharos Booking Server
psrserver;2351;TCP;psrserver
psrserver;2351;UDP;psrserver
pslserver;2352;TCP;pslserver
pslserver;2352;UDP;pslserver
pspserver;2353;TCP;pspserver
pspserver;2353;UDP;pspserver
psprserver;2354;TCP;psprserver
psprserver;2354;UDP;psprserver
psdbserver;2355;TCP;psdbserver
psdbserver;2355;UDP;psdbserver
gxtelmd;2356;TCP;GXT License Managemant
gxtelmd;2356;UDP;GXT License Managemant
unihub-server;2357;TCP;UniHub Server
unihub-server;2357;UDP;UniHub Server
futrix;2358;TCP;Futrix
futrix;2358;UDP;Futrix
flukeserver;2359;TCP;FlukeServer
flukeserver;2359;UDP;FlukeServer
nexstorindltd;2360;TCP;NexstorIndLtd
nexstorindltd;2360;UDP;NexstorIndLtd
tl1;2361;TCP;TL1
tl1;2361;UDP;TL1
digiman;2362;TCP;digiman
digiman;2362;UDP;digiman
mediacntrlnfsd;2363;TCP;Media Central NFSD
